rt	wlen	unigramsurp	subject	docid	sentid	sentpos
984	2	3.4059813	s067	Boar	2	34
575	2	3.4059813	s085	Boar	2	34
572	4	2.9016821	s009	Boar	2	35
932	4	2.9016821	s016	Boar	2	35
888	4	2.9016821	s024	Boar	2	35
713	4	2.9016821	s043	Boar	2	35
755	4	2.9016821	s052	Boar	2	35
1169	4	2.9016821	s067	Boar	2	35
623	4	2.9016821	s085	Boar	2	35
572	3	1.2888894	s009	Boar	2	36
619	3	1.2888894	s016	Boar	2	36
1000	3	1.2888894	s024	Boar	2	36
724	3	1.2888894	s043	Boar	2	36
744	3	1.2888894	s052	Boar	2	36
805	3	1.2888894	s067	Boar	2	36
546	3	1.2888894	s085	Boar	2	36
1013	4	3.4963987	s009	Boar	2	37
912	4	3.4963987	s016	Boar	2	37
1056	4	3.4963987	s024	Boar	2	37
1295	4	3.4963987	s043	Boar	2	37
677	4	3.4963987	s052	Boar	2	37
617	4	3.4963987	s085	Boar	2	37
692	2	1.6088771	s009	Boar	2	38
636	2	1.6088771	s016	Boar	2	38
752	2	1.6088771	s024	Boar	2	38
680	2	1.6088771	s043	Boar	2	38
475	2	1.6088771	s052	Boar	2	38
1553	2	1.6088771	s067	Boar	2	38
538	2	1.6088771	s085	Boar	2	38
803	5	3.673858	s009	Boar	2	39
677	5	3.673858	s016	Boar	2	39
889	5	3.673858	s024	Boar	2	39
795	5	3.673858	s043	Boar	2	39
875	5	3.673858	s052	Boar	2	39
2626	5	3.673858	s067	Boar	2	39
781	5	3.673858	s085	Boar	2	39
440	3	1.2888894	s009	Boar	2	40
920	3	1.2888894	s016	Boar	2	40
743	3	1.2888894	s024	Boar	2	40
585	3	1.2888894	s043	Boar	2	40
705	3	1.2888894	s052	Boar	2	40
607	3	1.2888894	s067	Boar	2	40
669	3	1.2888894	s085	Boar	2	40
1125	7	5.8297644	s009	Boar	2	41
2455	7	5.8297644	s016	Boar	2	41
1523	7	5.8297644	s043	Boar	2	41
1035	7	5.8297644	s052	Boar	2	41
995	7	5.8297644	s067	Boar	2	41
803	4	3.7968693	s009	Boar	2	42
1249	4	3.7968693	s016	Boar	2	42
884	4	3.7968693	s043	Boar	2	42
912	4	3.7968693	s052	Boar	2	42
1892	4	3.7968693	s067	Boar	2	42
1215	4	3.7968693	s085	Boar	2	42
877	5	5.063734	s009	Boar	2	43
804	5	5.063734	s016	Boar	2	43
1317	5	5.063734	s043	Boar	2	43
1679	5	5.063734	s052	Boar	2	43
3865	5	5.063734	s067	Boar	2	43
2016	5	5.063734	s085	Boar	2	43
591	3	3.0061398	s009	Boar	2	44
824	3	3.0061398	s016	Boar	2	44
994	3	3.0061398	s024	Boar	2	44
836	3	3.0061398	s043	Boar	2	44
745	3	3.0061398	s052	Boar	2	44
822	3	3.0061398	s067	Boar	2	44
702	3	3.0061398	s085	Boar	2	44
660	5	2.6770096	s009	Boar	2	45
636	5	2.6770096	s016	Boar	2	45
918	5	2.6770096	s024	Boar	2	45
655	5	2.6770096	s043	Boar	2	45
577	5	2.6770096	s052	Boar	2	45
721	5	2.6770096	s067	Boar	2	45
680	5	2.6770096	s085	Boar	2	45
588	3	3.4410043	s009	Boar	2	46
712	3	3.4410043	s016	Boar	2	46
1280	3	3.4410043	s024	Boar	2	46
1579	3	3.4410043	s043	Boar	2	46
715	3	3.4410043	s052	Boar	2	46
778	3	3.4410043	s067	Boar	2	46
